bugid,tempo_space
329779,"[('M', '0'), ('A', '0'), ('V', '0'), ('Y', '0'), ('H', '1'), ('P', '1'), ('L', '1'), ('C', '10'), ('A', '34'), ('Z', '35')]"
335779,"[('M', '0'), ('C', '0'), ('C', '0'), ('C', '2'), ('A', '2'), ('V', '2'), ('L', '2'), ('L', '11'), ('V', '36'), ('Y', '36'), ('Z', '36')]"
336462,"[('M', '0'), ('C', '0'), ('A', '30'), ('L', '35'), ('Z', '35')]"
337153,"[('N', '0'), ('C', '0'), ('A', '22'), ('W', '22'), ('P', '22'), ('L', '22'), ('W', '31'), ('C', '35'), ('Z', '35')]"
347602,"[('E', '0'), ('D', '0'), ('D', '0'), ('C', '0'), ('D', '0'), ('C', '1'), ('C', '1'), ('C', '1'), ('W', '3'), ('A', '3'), ('C', '3'), ('C', '6'), ('V', '7'), ('Y', '8'), ('C', '9'), ('L', '10'), ('Z', '36')]"
347691,"[('E', '0'), ('C', '0'), ('C', '0'), ('W', '1'), ('C', '1'), ('C', '5'), ('L', '8'), ('C', '10'), ('C', '12'), ('A', '16'), ('C', '22'), ('C', '24'), ('C', '26'), ('A', '30'), ('V', '33'), ('A', '33'), ('V', '33'), ('V', '35'), ('Y', '35'), ('Y', '35'), ('W', '35'), ('Z', '35')]"
348138,"[('M', '0'), ('C', '0'), ('C', '0'), ('C', '0'), ('C', '0'), ('C', '1'), ('C', '2'), ('C', '3'), ('L', '7'), ('C', '7'), ('L', '8'), ('W', '12'), ('A', '12'), ('C', '15'), ('C', '20'), ('C', '21'), ('C', '27'), ('Y', '27'), ('V', '28'), ('W', '29'), ('Y', '33'), ('S', '33'), ('Y', '33'), ('C', '34'), ('C', '35'), ('H', '35'), ('Z', '35')]"
353253,"[('M', '0'), ('C', '0'), ('C', '3'), ('W', '16'), ('Z', '36')]"
359056,"[('E', '0'), ('C', '0'), ('P', '18'), ('A', '18'), ('L', '18'), ('V', '18'), ('Y', '36'), ('L', '36'), ('Z', '36')]"
366242,"[('N', '0'), ('C', '0'), ('C', '1'), ('Q', '1'), ('C', '1'), ('A', '35'), ('V', '35'), ('Y', '35'), ('Z', '36')]"
